,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,params,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,split0_train_AUC,split1_train_AUC,split2_train_AUC,split3_train_AUC,split4_train_AUC,mean_train_AUC,std_train_AUC,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,split4_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_train_Accuracy,split1_train_Accuracy,split2_train_Accuracy,split3_train_Accuracy,split4_train_Accuracy,mean_train_Accuracy,std_train_Accuracy
0,0.012519121170043945,0.0022728079225001,0.010002851486206055,0.0026842813497023905,1,{'n_estimators': 1},0.6973533990659057,0.7010897768552153,0.6980280228334198,0.7109920239282154,0.7147723496178133,0.704447114460114,0.00710272584585135,11,0.8830623601659062,0.8949174362408443,0.8958985459849771,0.8971205910632052,0.9025132383262032,0.8947024343562273,0.006384737684696091,0.7,0.7,0.6977272727272728,0.7113636363636363,0.7136363636363636,0.7045454545454545,0.006586989430086101,11,0.8835227272727273,0.8943181818181818,0.8954545454545455,0.8965909090909091,0.9022727272727272,0.894431818181818,0.0061026007191352346
1,0.06876778602600098,0.013068859305435653,0.013000249862670898,0.002605903565258379,10,{'n_estimators': 10},0.8578204462895693,0.8298910223144785,0.8085417747794499,0.8340187770023263,0.8449131771352609,0.8350370395042169,0.01640816335565617,10,0.999500360778451,0.9994588323236728,0.9991882484855092,0.9992668802445636,0.9992117340682697,0.9993252111800933,0.0001292828870900362,0.7840909090909091,0.7454545454545455,0.759090909090909,0.7840909090909091,0.759090909090909,0.7663636363636364,0.015306780218620659,10,0.9880681818181818,0.9863636363636363,0.9852272727272727,0.9880681818181818,0.9903409090909091,0.9876136363636363,0.0017383021069066367
2,0.1275998592376709,0.010465454399515501,0.022410106658935548,0.003615926737840642,25,{'n_estimators': 25},0.8798650752464972,0.84386092371562,0.8223144784639337,0.8506044366899302,0.8632332170156198,0.8519756262263201,0.019246126681451352,9,0.9999617159557513,0.9999649603662809,0.9999922134147291,0.9999688586298575,0.9999429074880721,0.9999661311709381,1.579827096792717e-05,0.8022727272727272,0.7613636363636364,0.7363636363636363,0.7840909090909091,0.7863636363636364,0.774090909090909,0.02293541056644158,8,0.9971590909090909,0.9965909090909091,0.9982954545454545,0.9960227272727272,0.9948863636363636,0.9965909090909092,0.0011363636363636465
3,0.3986865997314453,0.15847042278077447,0.05671525001525879,0.013403555072945921,50,{'n_estimators': 50},0.8784535547483134,0.8420757654385054,0.8275350285417746,0.8554960119641077,0.8598890827517447,0.8526898886888892,0.017139987241577146,8,1.0,1.0,1.0,1.0,0.9999987024429107,0.9999997404885821,5.190228357321302e-07,0.7931818181818182,0.7545454545454545,0.759090909090909,0.7863636363636364,0.7818181818181819,0.7749999999999999,0.015347220923758332,7,1.0,0.9988636363636364,1.0,1.0,0.9982954545454545,0.9994318181818181,0.000718699468220082
4,0.4186798095703125,0.06401127503827157,0.04851536750793457,0.006618888032487147,75,{'n_estimators': 75},0.8823663725998961,0.8441100155682407,0.829880643487286,0.8574692588899967,0.8603460451977402,0.8548344671486319,0.017510183408010513,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7909090909090909,0.7636363636363637,0.759090909090909,0.7840909090909091,0.7704545454545455,0.7736363636363637,0.012077572959624017,9,1.0,0.9994318181818181,1.0,0.9994318181818181,1.0,0.9997727272727273,0.0002783511071344708
5,0.5429893970489502,0.13298240891538052,0.05872430801391602,0.015827350775847286,100,{'n_estimators': 100},0.884566683964712,0.8431447846393356,0.832734820965231,0.8571888501163176,0.8609899468261881,0.8557250173023568,0.01759838291852914,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8,0.7704545454545455,0.7522727272727273,0.7727272727272727,0.7931818181818182,0.7777272727272727,0.017092359706330152,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
6,1.586040210723877,0.4368893941050552,0.19804811477661133,0.10353430275946225,200,{'n_estimators': 200},0.8875142708873897,0.8460197197716658,0.8345718733783083,0.859857926221336,0.8593490362246594,0.8574625652966719,0.017704937309368347,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7977272727272727,0.7704545454545455,0.7545454545454545,0.7818181818181819,0.7795454545454545,0.7768181818181817,0.014185896849388402,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0
7,2.322953987121582,0.5216967591789534,0.2767027378082275,0.06289320378624381,300,{'n_estimators': 300},0.8877737415672029,0.8472755578619616,0.8353814218993254,0.8596709870388834,0.8612080425390495,0.8582619501812847,0.017469001496983893,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8068181818181818,0.7659090909090909,0.7636363636363637,0.7818181818181819,0.7795454545454545,0.7795454545454545,0.015414386325284685,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0
8,1.8619011402130128,0.3409999410841669,0.24798336029052734,0.13468009246176227,400,{'n_estimators': 400},0.8874104826154645,0.8471717695900364,0.8361390762843799,0.8605122133599202,0.8611976570289133,0.858486239775743,0.017178365044606028,2,1.0,0.9999999999999999,0.9999999999999999,1.0,0.9999999999999999,1.0,8.599750569898517e-17,0.8113636363636364,0.7659090909090909,0.7636363636363637,0.7795454545454545,0.7818181818181819,0.7804545454545454,0.017043939326593354,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
9,2.3587579250335695,0.797684919972021,0.22218003273010253,0.020059716735423533,500,{'n_estimators': 500},0.8874727555786197,0.8469538142189932,0.8361183186299948,0.8599306247922898,0.8611353439680957,0.8583221714375986,0.017219223228675952,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8068181818181818,0.7681818181818182,0.7681818181818182,0.7795454545454545,0.7772727272727272,0.78,0.014185896849388376,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
10,2.4171730518341064,0.04839416060110826,0.2860735893249512,0.04775923957352225,600,{'n_estimators': 600},0.8877426050856252,0.8477944992215878,0.8368240788790866,0.860138334995015,0.8610314888667332,0.8587062014096096,0.017020359795739553,1,1.0,1.0,1.0000000000000002,1.0,0.9999999999999999,1.0,1.1102230246251565e-16,0.8113636363636364,0.7681818181818182,0.7681818181818182,0.7772727272727272,0.775,0.78,0.016096301099659805,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
